product_id,category_id,bounding_box,occlusion,viewpoint,zoom-in,image,pattern,color
P00003,10,"[1, 52, 467, 831]",1,1,2,000003.jpg,plain,Charcoal
P00004,10,"[0, 113, 467, 623]",1,2,2,000004.jpg,printed,Charcoal
P00005,10,"[1, 98, 467, 814]",1,1,2,000005.jpg,printed,Charcoal
P00006,10,"[0, 324, 466, 831]",3,2,2,000006.jpg,plain,Gray
P00007,10,"[23, 106, 430, 696]",1,1,1,000007.jpg,plain,Gray
P00008,10,"[23, 94, 432, 674]",1,1,1,000008.jpg,printed,Gray
P00009,1,"[0, 197, 394, 622]",2,2,2,000009.jpg,plain,Charcoal
P00010,1,"[0, 190, 466, 516]",1,1,2,000010.jpg,plain,Charcoal
P00015,1,"[74, 38, 452, 709]",2,3,2,000015.jpg,plain,Gray
P00020,1,"[165, 1, 638, 514]",1,2,2,000020.jpg,plain,Gray
P00033,6,"[1, 179, 406, 474]",1,1,2,000033.jpg,plain,Tan
P00037,6,"[21, 125, 439, 487]",1,2,1,000037.jpg,plain,Gray
P00038,6,"[26, 99, 467, 578]",1,3,2,000038.jpg,printed,Gray
P00065,0,"[0, 1, 465, 584]",1,2,2,000065.jpg,stripes,Gray
P00071,0,"[1, 285, 466, 831]",2,2,2,000071.jpg,plain,Gray
P00072,0,"[41, 339, 466, 830]",1,2,2,000072.jpg,plain,Gray
P00084,1,"[174, 178, 287, 389]",2,2,1,000084.jpg,plain,Charcoal
P00085,1,"[1, 2, 372, 593]",1,1,2,000085.jpg,plain,Gray
P00086,1,"[0, 105, 466, 831]",1,2,2,000086.jpg,plain,Gray
P00089,1,"[240, 191, 534, 654]",1,3,1,000089.jpg,plain,Tan
P00091,3,"[16, 83, 290, 459]",1,1,2,000091.jpg,printed,Charcoal
P00096,3,"[224, 0, 543, 541]",2,2,2,000096.jpg,printed,Gray
P00097,3,"[42, 0, 446, 701]",2,2,2,000097.jpg,plain,Gray
P00099,3,"[296, 12, 566, 504]",2,2,2,000099.jpg,plain,Gray
P00101,0,"[2, 199, 466, 788]",1,1,2,000101.jpg,printed,Charcoal
P00103,0,"[87, 0, 466, 623]",1,1,2,000103.jpg,plain,Bronze
P00104,0,"[0, 62, 466, 623]",1,1,2,000104.jpg,printed,Rust
P00105,0,"[2, 78, 465, 618]",1,1,2,000105.jpg,printed,Rust
P00107,0,"[31, 145, 425, 717]",1,3,1,000107.jpg,printed,Gray
P00143,11,"[0, 0, 378, 623]",1,1,2,000143.jpg,plain,Charcoal
P00144,11,"[0, 13, 467, 595]",1,1,2,000144.jpg,plain,Gray
P00145,11,"[27, 0, 439, 623]",1,2,2,000145.jpg,plain,Gray
P00146,11,"[0, 49, 467, 508]",1,1,2,000146.jpg,printed,Gray
P00147,11,"[165, 128, 322, 434]",1,3,1,000147.jpg,plain,Charcoal
P00148,11,"[1, 13, 467, 467]",1,1,2,000148.jpg,plain,Rust
P00149,11,"[0, 10, 363, 623]",1,2,2,000149.jpg,printed,Bronze
P00150,11,"[145, 22, 342, 393]",2,2,1,000150.jpg,plain,Rust
P00151,11,"[0, 32, 262, 467]",1,1,2,000151.jpg,printed,Gray
P00152,11,"[0, 0, 467, 599]",1,1,2,000152.jpg,plain,Gray
P00153,11,"[29, 0, 439, 665]",1,1,2,000153.jpg,plain,Silver
